,,,,,,,,,,,,
Параметры:,,Период отчета: 02.09.2024 - 05.05.2025,,,,,,,,,,
,,,,,,,,,,,,
Оригинатор,,,Вид сельскохозяйственной культуры,,Сорт,Заявление,Свидетельство,,,Основание,,Статус
,,,,,,,"(номер, дата выдачи, подписано)",,,"(наличие, тип основания, номер основания)",,
ASPRIA SEEDS S.A.,,,,,,,,,,,,
,,,Кукуруза,,,,,,,,,
,,,,,АС 13291,Заявление об исключении оригинатора из Государственного реестра 000000125 от 14.11.2024 20:16:41,Свидетельство оригинатора №2024-017922 от 04.02.2016 на сорт АС 13291,,,,,Исключен
,,,,,,,2024-017922,04.02.2016,,,,
,,,,,АС 15180,Заявление об исключении оригинатора из Государственного реестра 000000126 от 14.11.2024 20:18:42,Свидетельство оригинатора №2024-019655 от 12.03.2018 на сорт АС 15180,,,,,Исключен
,,,,,,,2024-019655,12.03.2018,,,,
,,,,,АС 15250,Заявление об исключении оригинатора из Государственного реестра 000000127 от 14.11.2024 20:22:43,Свидетельство оригинатора №2024-019632 от 12.03.2018 на сорт АС 15250,,,,,Исключен
,,,,,,,2024-019632,12.03.2018,,,,
,,,,,АС 15270,Заявление об исключении оригинатора из Государственного реестра 000000128 от 14.11.2024 20:24:43,Свидетельство оригинатора №2024-019625 от 12.03.2018 на сорт АС 15270,,,,,Исключен
,,,,,,,2024-019625,12.03.2018,,,,
,,,,,АС 15280,Заявление об исключении оригинатора из Государственного реестра 000000129 от 14.11.2024 20:26:43,Свидетельство оригинатора №2024-019649 от 12.03.2018 на сорт АС 15280,,,,,Исключен
,,,,,,,2024-019649,12.03.2018,,,,
,,,,,АС 15290,Заявление об исключении оригинатора из Государственного реестра 000000130 от 14.11.2024 20:28:43,Свидетельство оригинатора №2024-019648 от 12.03.2018 на сорт АС 15290,,,,,Исключен
,,,,,,,2024-019648,12.03.2018,,,,
,,,,,АС 15323,Заявление об исключении оригинатора из Государственного реестра 000000131 от 14.11.2024 20:30:42,Свидетельство оригинатора №2024-019627 от 12.03.2018 на сорт АС 15323,,,,,Исключен
,,,,,,,2024-019627,12.03.2018,,,,
,,,,,АС 16240,Заявление об исключении оригинатора из Государственного реестра 000000132 от 14.11.2024 20:34:42,Свидетельство оригинатора №2024-023397 от 12.03.2019 на сорт АС 16240,,,,,Исключен
,,,,,,,2024-023397,12.03.2019,,,,
,,,,,АС 33 002,Заявление об исключении оригинатора из Государственного реестра 000000121 от 14.11.2024 20:04:41,Свидетельство оригинатора №2024-016686 от 05.02.2015 на сорт АС 33 002,,,,,Исключен
,,,,,,,2024-016686,05.02.2015,,,,
,,,,,АС 33 003,Заявление об исключении оригинатора из Государственного реестра 000000120 от 14.11.2024 20:02:41,Свидетельство оригинатора №2024-016545 от 05.02.2015 на сорт АС 33 003,,,,,Исключен
,,,,,,,2024-016545,05.02.2015,,,,
,,,,,АС 33 009,Заявление об исключении оригинатора из Государственного реестра 000000122 от 14.11.2024 20:08:41,Свидетельство оригинатора №2024-016598 от 05.02.2015 на сорт АС 33 009,,,,,Исключен
,,,,,,,2024-016598,05.02.2015,,,,
,,,,,АС 33 016,Заявление об исключении оригинатора из Государственного реестра 000000123 от 14.11.2024 20:10:41,Свидетельство оригинатора №2024-016603 от 05.02.2015 на сорт АС 33 016,,,,,Исключен
,,,,,,,2024-016603,05.02.2015,,,,
,,,,,АС 33 017,Заявление об исключении оригинатора из Государственного реестра 000000124 от 14.11.2024 20:14:41,Свидетельство оригинатора №2024-016596 от 05.02.2015 на сорт АС 33 017,,,,,Исключен
,,,,,,,2024-016596,05.02.2015,,,,
,,,,,АС 33033,Заявление об исключении оригинатора из Государственного реестра 000000133 от 14.11.2024 20:36:42,Свидетельство оригинатора №2024-017920 от 04.02.2016 на сорт АС 33033,,,,,Исключен
,,,,,,,2024-017920,04.02.2016,,,,
,,,,,АС 33039,Заявление об исключении оригинатора из Государственного реестра 000000134 от 14.11.2024 20:40:42,Свидетельство оригинатора №2024-017919 от 04.02.2016 на сорт АС 33039,,,,,Исключен
,,,,,,,2024-017919,04.02.2016,,,,
,,,,,АС 34010,Заявление об исключении оригинатора из Государственного реестра 000000135 от 14.11.2024 20:42:42,Свидетельство оригинатора №2024-017918 от 04.02.2016 на сорт АС 34010,,,,,Исключен
,,,,,,,2024-017918,04.02.2016,,,,
,,,Подсолнечник,,,,,,,,,
,,,,,АС 33 104,Заявление об исключении оригинатора из Государственного реестра 000000114 от 14.11.2024 19:44:42,Свидетельство оригинатора №2024-016793 от 07.02.2015 на сорт АС 33 104,,,,,Исключен
,,,,,,,2024-016793,07.02.2015,,,,
,,,,,АС 33 109,Заявление об исключении оригинатора из Государственного реестра 000000113 от 14.11.2024 19:40:42,Свидетельство оригинатора №2024-016792 от 07.02.2015 на сорт АС 33 109,,,,,Исключен
,,,,,,,2024-016792,07.02.2015,,,,
,,,,,АС 33 110,Заявление об исключении оригинатора из Государственного реестра 000000115 от 14.11.2024 19:48:42,Свидетельство оригинатора №2024-016697 от 07.02.2015 на сорт АС 33 110,,,,,Исключен
,,,,,,,2024-016697,07.02.2015,,,,
,,,,,АС 33 111,Заявление об исключении оригинатора из Государственного реестра 000000116 от 14.11.2024 19:52:42,Свидетельство оригинатора №2024-016789 от 07.02.2015 на сорт АС 33 111,,,,,Исключен
,,,,,,,2024-016789,07.02.2015,,,,
,,,,,АС 35143,Заявление об исключении оригинатора из Государственного реестра 000000117 от 14.11.2024 19:54:42,Свидетельство оригинатора №2024-019869 от 16.03.2018 на сорт АС 35143,,,,,Исключен
,,,,,,,2024-019869,16.03.2018,,,,
,,,,,АС 35151,Заявление об исключении оригинатора из Государственного реестра 000000119 от 14.11.2024 20:00:41,Свидетельство оригинатора №2024-022485 от 06.03.2019 на сорт АС 35151,,,,,Исключен
,,,,,,,2024-022485,06.03.2019,,,,
,,,,,АС 36132,Заявление об исключении оригинатора из Государственного реестра 000000118 от 14.11.2024 19:56:42,Свидетельство оригинатора №2024-022468 от 06.03.2019 на сорт АС 36132,,,,,Исключен
,,,,,,,2024-022468,06.03.2019,,,,
MAS SEEDS S.A.,,,,,,,,,,,,
,,,Кукуруза,,,,,,,,,
,,,,,МАС 39 ВСК,Заявление об исключении оригинатора из Государственного реестра 000000160 от 22.01.2025 10:50:21,Свидетельство оригинатора №2024-013170 от 27.01.2012 на сорт МАС 39 ВСК,,,,,Исключен
,,,,,,,2024-013170,27.01.2012,,,,
,,,,,МАС 47 П,Заявление об исключении оригинатора из Государственного реестра 000000161 от 22.01.2025 11:00:22,Свидетельство оригинатора №2024-011781 от 25.01.2011 на сорт МАС 47 П,,,,,Исключен
,,,,,,,2024-011781,25.01.2011,,,,
,,,,,МАС 56А,Заявление об исключении оригинатора из Государственного реестра 000000163 от 22.01.2025 11:12:21,Свидетельство оригинатора №2024-019712 от 14.03.2018 на сорт МАС 56А,,,,,Исключен
,,,,,,,2024-019712,14.03.2018,,,,
